"",Accomack County,VA,Accomack County Voter Registration Office,757-787-2935,"",ocd-division/country:us/state:va/county:accomack
"",Albemarle County,VA,Albemarle County Voter Registration Office,434-972-4173,https://www.albemarle.org/registrar,ocd-division/country:us/state:va/county:albemarle
Alexandria City,"",VA,Alexandria City Voter Registration Office,703-746-4050,http://www.alexandriavoter.org,ocd-division/country:us/state:va/place:alexandria
"",Alleghany County,VA,Alleghany County Voter Registration Office,540-965-1690,"",ocd-division/country:us/state:va/county:alleghany
"",Amelia County,VA,Amelia County Voter Registration Office,804-561-3460,"",ocd-division/country:us/state:va/county:amelia
"",Amherst County,VA,Amherst County Voter Registration Office,434-946-9315,"",ocd-division/country:us/state:va/county:amherst
"",Appomattox County,VA,Appomattox County Voter Registration Office,434-352-5302,"",ocd-division/country:us/state:va/county:appomattox
"",Arlington County,VA,Arlington County Voter Registration Office,703-228-3456,http://vote.arlingtonva.us,ocd-division/country:us/state:va/county:arlington
"",Augusta County,VA,Augusta County Voter Registration Office,540-245-5656,http://www.co.augusta.va.us,ocd-division/country:us/state:va/county:augusta
"",Bath County,VA,Bath County Voter Registration Office,540-839-7266,"",ocd-division/country:us/state:va/county:bath
"",Bedford County,VA,Bedford County Voter Registration Office,540-586-7649,http://www.co.bedford.va.us/Res/vote/index.htm,ocd-division/country:us/state:va/county:bedford
"",Bland County,VA,Bland County Voter Registration Office,276-688-4441,"",ocd-division/country:us/state:va/county:bland
"",Botetourt County,VA,Botetourt County Voter Registration Office,540-473-8235,http://www.co.botetourt.va.us/government/voter_info.php,ocd-division/country:us/state:va/county:botetourt
Bristol City,"",VA,Bristol City Voter Registration Office,276-645-7318,http://www.bristolva.org,ocd-division/country:us/state:va/place:bristol
"",Brunswick County,VA,Brunswick County Voter Registration Office,434-848-4414,"",ocd-division/country:us/state:va/county:brunswick
"",Buchanan County,VA,Buchanan County Voter Registration Office,276-935-6534,"",ocd-division/country:us/state:va/county:buchanan
"",Buckingham County,VA,Buckingham County Voter Registration Office,434-969-4304,"",ocd-division/country:us/state:va/county:buckingham
Buena Vista City,"",VA,Buena Vista City Voter Registration Office,540-261-8605,"",ocd-division/country:us/state:va/place:buena_vista
"",Campbell County,VA,Campbell County Voter Registration Office,434-332-9579,http://www.co.campbell.va.us,ocd-division/country:us/state:va/county:campbell
"",Caroline County,VA,Caroline County Voter Registration Office,804-633-9083,"",ocd-division/country:us/state:va/county:caroline
"",Carroll County,VA,Carroll County Voter Registration Office,276-730-3035,http://www.carrollcountyva.org/voterregistration/,ocd-division/country:us/state:va/county:carroll
"",Charles City County,VA,Charles City County Voter Registration Office,804-652-4606,"",ocd-division/country:us/state:va/county:charles_city
"",Charlotte County,VA,Charlotte County Voter Registration Office,434-542-5856,"",ocd-division/country:us/state:va/county:charlotte
Charlottesville City,"",VA,Charlottesville City Voter Registration Office,434-970-3250,https://www.charlottesville.org/vote,ocd-division/country:us/state:va/place:charlottesville
Chesapeake City,"",VA,Chesapeake City Voter Registration Office,757-277-9797,http://www.cityofchesapeake.net/services/depart/vot-reg/vot-reg.html,ocd-division/country:us/state:va/place:chesapeake
"",Chesterfield County,VA,Chesterfield County Voter Registration Office,804-748-1471,http://www.chesterfield.gov/registrar,ocd-division/country:us/state:va/county:chesterfield
"",Clarke County,VA,Clarke County Voter Registration Office,540-955-5168,http://www.clarkecounty.gov,ocd-division/country:us/state:va/county:clarke
Colonial Heights City,"",VA,Colonial Heights City Voter Registration Office,804-520-9277,http://www.colonialheightsva.gov,ocd-division/country:us/state:va/place:colonial_heights
Covington City,"",VA,Covington City Voter Registration Office,540-965-6380,"",ocd-division/country:us/state:va/place:covington
"",Craig County,VA,Craig County Voter Registration Office,540-864-6190,"",ocd-division/country:us/state:va/county:craig
"",Culpeper County,VA,Culpeper County Voter Registration Office,540-825-0652,"",ocd-division/country:us/state:va/county:culpeper
"",Cumberland County,VA,Cumberland County Voter Registration Office,804-492-4504,"",ocd-division/country:us/state:va/county:cumberland
Danville City,"",VA,Danville City Voter Registration Office,434-799-6560,http://www.danville-va.gov,ocd-division/country:us/state:va/place:danville
"",Dickenson County,VA,Dickenson County Voter Registration Office,276-926-1620,"",ocd-division/country:us/state:va/county:dickenson
"",Dinwiddie County,VA,Dinwiddie County Voter Registration Office,804-469-4500,"",ocd-division/country:us/state:va/county:dinwiddie
Emporia City,"",VA,Emporia City Voter Registration Office,434-634-9533,"",ocd-division/country:us/state:va/place:emporia
"",Essex County,VA,Essex County Voter Registration Office,804-443-4611,"",ocd-division/country:us/state:va/county:essex
Fairfax City,"",VA,Fairfax City Voter Registration Office,703-385-7890,http://www.fairfaxva.gov/government/general-registrar,ocd-division/country:us/state:va/place:fairfax
"",Fairfax County,VA,Fairfax County Voter Registration Office,703-222-0776,http://www.fairfaxcounty.gov/elections,ocd-division/country:us/state:va/county:fairfax
Falls Church City,"",VA,Falls Church City Voter Registration Office,703-248-5085,http://www.fallschurchva.gov,ocd-division/country:us/state:va/place:falls_church
"",Fauquier County,VA,Fauquier County Voter Registration Office,540-422-8290,http://www.fauquiercounty.gov/government/departments/registrar/,ocd-division/country:us/state:va/county:fauquier
"",Floyd County,VA,Floyd County Voter Registration Office,540-745-9350,"",ocd-division/country:us/state:va/county:floyd
"",Fluvanna County,VA,Fluvanna County Voter Registration Office,434-589-3593,"",ocd-division/country:us/state:va/county:fluvanna
Franklin City,"",VA,Franklin City Voter Registration Office,757-562-8545,"",ocd-division/country:us/state:va/place:franklin
"",Franklin County,VA,Franklin County Voter Registration Office,540-483-3025,"",ocd-division/country:us/state:va/county:franklin
"",Frederick County,VA,Frederick County Voter Registration Office,540-665-5660,http://fcvotes.net,ocd-division/country:us/state:va/county:frederick
Fredericksburg City,"",VA,Fredericksburg City Voter Registration Office,540-372-1030,http://www.fredericksburgva.gov,ocd-division/country:us/state:va/place:fredericksburg
Galax City,"",VA,Galax City Voter Registration Office,276-236-7509,"",ocd-division/country:us/state:va/place:galax
"",Giles County,VA,Giles County Voter Registration Office,540-921-2802,"",ocd-division/country:us/state:va/county:giles
"",Gloucester County,VA,Gloucester County Voter Registration Office,804-693-3659,http://www.gloucesterva.info/registrar,ocd-division/country:us/state:va/county:gloucester
"",Goochland County,VA,Goochland County Voter Registration Office,804-556-5803,"",ocd-division/country:us/state:va/county:goochland
"",Grayson County,VA,Grayson County Voter Registration Office,276-773-2842,"",ocd-division/country:us/state:va/county:grayson
"",Greene County,VA,Greene County Voter Registration Office,434-985-5213,"",ocd-division/country:us/state:va/county:greene
"",Greensville County,VA,Greensville County Voter Registration Office,434-348-4228,"",ocd-division/country:us/state:va/county:greensville
"",Halifax County,VA,Halifax County Voter Registration Office,434-476-3322,"",ocd-division/country:us/state:va/county:halifax
Hampton City,"",VA,Hampton City Voter Registration Office,757-727-6218,http://www.hampton.gov/voter,ocd-division/country:us/state:va/place:hampton
"",Hanover County,VA,Hanover County Voter Registration Office,804-365-6080,http://www.hanovercounty.gov/Registrar/879/,ocd-division/country:us/state:va/county:hanover
Harrisonburg City,"",VA,Harrisonburg City Voter Registration Office,540-432-7707,"",ocd-division/country:us/state:va/place:harrisonburg
"",Henrico County,VA,Henrico County Voter Registration Office,804-501-4347,http://henrico.us/registrar/,ocd-division/country:us/state:va/county:henrico
"",Henry County,VA,Henry County Voter Registration Office,276-638-5108,"",ocd-division/country:us/state:va/county:henry
"",Highland County,VA,Highland County Voter Registration Office,540-468-2013,"",ocd-division/country:us/state:va/county:highland
Hopewell City,"",VA,Hopewell City Voter Registration Office,804-541-2232,"",ocd-division/country:us/state:va/place:hopewell
"",Isle Of Wight County,VA,Isle Of Wight County Voter Registration Office,757-365-6230,"",ocd-division/country:us/state:va/county:isle_of_wight
James City County,"",VA,James City County Voter Registration Office,757-253-6868,http://www.jamescitycountyva.gov/vote,ocd-division/country:us/state:va/county:james_city
"",King & Queen County,VA,King & Queen County Voter Registration Office,804-785-5980,"",ocd-division/country:us/state:va/county:king_and_queen
"",King George County,VA,King George County Voter Registration Office,540-775-9186,http://www.king-george.va.us,ocd-division/country:us/state:va/county:king_george
"",King William County,VA,King William County Voter Registration Office,804-769-4952,"",ocd-division/country:us/state:va/county:king_william
"",Lancaster County,VA,Lancaster County Voter Registration Office,804-462-5277,"",ocd-division/country:us/state:va/county:lancaster
"",Lee County,VA,Lee County Voter Registration Office,276-346-7780,"",ocd-division/country:us/state:va/county:lee
Lexington City,"",VA,Lexington City Voter Registration Office,540-462-3706,"",ocd-division/country:us/state:va/place:lexington
"",Loudoun County,VA,Loudoun County Voter Registration Office,703-777-0380,http://www.loudoun.gov/voting,ocd-division/country:us/state:va/county:loudoun
"",Louisa County,VA,Louisa County Voter Registration Office,540-967-3427,"",ocd-division/country:us/state:va/county:louisa
"",Lunenburg County,VA,Lunenburg County Voter Registration Office,434-696-3071,"",ocd-division/country:us/state:va/county:lunenburg
Lynchburg City,"",VA,Lynchburg City Voter Registration Office,434-847-1609,http://www.lynchburgva.gov/home/index.aspx?page=4286,ocd-division/country:us/state:va/place:lynchburg
"",Madison County,VA,Madison County Voter Registration Office,540-948-6533,"",ocd-division/country:us/state:va/county:madison
Manassas City,"",VA,Manassas City Voter Registration Office,703-257-8230,http://www.manassascity.org/vote,ocd-division/country:us/state:va/place:manassas
Manassas Park City,"",VA,Manassas Park City Voter Registration Office,703-335-8806,"",ocd-division/country:us/state:va/place:manassas_park
Martinsville City,"",VA,Martinsville City Voter Registration Office,276-403-5122,http://www.martinsville.va-gov/Registrar/default.htm,ocd-division/country:us/state:va/place:martinsville
"",Mathews County,VA,Mathews County Voter Registration Office,804-725-3200,"",ocd-division/country:us/state:va/county:mathews
"",Mecklenburg County,VA,Mecklenburg County Voter Registration Office,434-738-6191,"",ocd-division/country:us/state:va/county:mecklenburg
"",Middlesex County,VA,Middlesex County Voter Registration Office,804-758-4420,"",ocd-division/country:us/state:va/county:middlesex
"",Montgomery County,VA,Montgomery County Voter Registration Office,540-382-5741,http://www.montva.com/,ocd-division/country:us/state:va/county:montgomery
"",Nelson County,VA,Nelson County Voter Registration Office,434-263-4068,"",ocd-division/country:us/state:va/county:nelson
"",New Kent County,VA,New Kent County Voter Registration Office,804-966-9699,http://www.co.new-kent.va.us/registrar/ ,ocd-division/country:us/state:va/county:new_kent
Newport News City,"",VA,Newport News City Voter Registration Office,757-926-8683,"",ocd-division/country:us/state:va/place:newport_news
Norfolk City,"",VA,Norfolk City Voter Registration Office,757-664-4353,http://www.norfolk.gov/Elections/,ocd-division/country:us/state:va/place:norfolk
"",Northampton County,VA,Northampton County Voter Registration Office,757-678-0480,http://www.co.northampton.va.us/gov/registrar/,ocd-division/country:us/state:va/county:northampton
"",Northumberland County,VA,Northumberland County Voter Registration Office,804-580-4655,"",ocd-division/country:us/state:va/county:northumberland
Norton City,"",VA,Norton City Voter Registration Office,276-679-1162,"",ocd-division/country:us/state:va/place:norton
"",Nottoway County,VA,Nottoway County Voter Registration Office,434-645-8148,"",ocd-division/country:us/state:va/county:nottoway
"",Orange County,VA,Orange County Voter Registration Office,540-672-5262,http://orangecountyva.gov/voter,ocd-division/country:us/state:va/county:orange
"",Page County,VA,Page County Voter Registration Office,540-743-3986,"",ocd-division/country:us/state:va/county:page
"",Patrick County,VA,Patrick County Voter Registration Office,276-694-7206,http://co.patrick.va.us/registrar,ocd-division/country:us/state:va/county:patrick
Petersburg City,"",VA,Petersburg City Voter Registration Office,804-733-8071,"",ocd-division/country:us/state:va/place:petersburg
"",Pittsylvania County,VA,Pittsylvania County Voter Registration Office,434-432-7971,"",ocd-division/country:us/state:va/county:pittsylvania
Poquoson City,"",VA,Poquoson City Voter Registration Office,757-868-3070,"",ocd-division/country:us/state:va/place:poquoson
Portsmouth City,"",VA,Portsmouth City Voter Registration Office,757-393-8644,http://www.portsmouthva.gov/registrar,ocd-division/country:us/state:va/place:portsmouth
"",Powhatan County,VA,Powhatan County Voter Registration Office,804-598-5604,http://www.powhatanva.gov,ocd-division/country:us/state:va/county:powhatan
"",Prince Edward County,VA,Prince Edward County Voter Registration Office,434-392-4767,"",ocd-division/country:us/state:va/county:prince_edward
"",Prince George County,VA,Prince George County Voter Registration Office,804-722-8748,"",ocd-division/country:us/state:va/county:prince_george
"",Prince William County,VA,Prince William County Voter Registration Office,703-792-6470,http://www.pwcgov.org/vote,ocd-division/country:us/state:va/county:prince_william
"",Pulaski County,VA,Pulaski County Voter Registration Office,540-980-2111,http://www.pulaskicounty.org/,ocd-division/country:us/state:va/county:pulaski
Radford City,"",VA,Radford City Voter Registration Office,540-267-3156,"",ocd-division/country:us/state:va/place:radford
"",Rappahannock County,VA,Rappahannock County Voter Registration Office,540-675-5380,"",ocd-division/country:us/state:va/county:rappahannock
Richmond City,"",VA,Richmond City Voter Registration Office,804-646-5950,http://www.richmondgov.com/departments/registrar/,ocd-division/country:us/state:va/place:richmond
"",Richmond County,VA,Richmond County Voter Registration Office,804-333-4772,"",ocd-division/country:us/state:va/county:richmond
Roanoke City,"",VA,Roanoke City Voter Registration Office,540-853-2281,http://www.roanokeva.gov/registrar,ocd-division/country:us/state:va/place:roanoke
"",Roanoke County,VA,Roanoke County Voter Registration Office,540-772-7500,http://www.roanokecountyva.gov,ocd-division/country:us/state:va/county:roanoke
"",Rockbridge County,VA,Rockbridge County Voter Registration Office,540-463-7203,http://www.co.rockbridge.va.us,ocd-division/country:us/state:va/county:rockbridge
"",Rockingham County,VA,Rockingham County Voter Registration Office,540-564-3055,http://www.RockinghamVoters.com,ocd-division/country:us/state:va/county:rockingham
"",Russell County,VA,Russell County Voter Registration Office,276-889-8006,"",ocd-division/country:us/state:va/county:russell
Salem City,"",VA,Salem City Voter Registration Office,540-375-3034,https://www.salemva.gov,ocd-division/country:us/state:va/place:salem
"",Scott County,VA,Scott County Voter Registration Office,276-386-3843,"",ocd-division/country:us/state:va/county:scott
"",Shenandoah County,VA,Shenandoah County Voter Registration Office,540-459-6195,https://www.shenandoahcountyva.us/voter,ocd-division/country:us/state:va/county:shenandoah
"",Smyth County,VA,Smyth County Voter Registration Office,276-706-8331,"",ocd-division/country:us/state:va/county:smyth
"",Southampton County,VA,Southampton County Voter Registration Office,757-653-9280,"",ocd-division/country:us/state:va/county:southampton
"",Spotsylvania County,VA,Spotsylvania County Voter Registration Office,540-507-7380,http://www.spotsylvania.va.us/,ocd-division/country:us/state:va/county:spotsylvania
"",Stafford County,VA,Stafford County Voter Registration Office,540-658-4000,http://staffordcountyva.gov/registrar,ocd-division/country:us/state:va/county:stafford
Staunton City,"",VA,Staunton City Voter Registration Office,540-332-3840,http://www.staunton.va.us/default.asp?pageID=0DFD52E4-8480-481C-B097-E2613A1521A3,ocd-division/country:us/state:va/place:staunton
Suffolk City,"",VA,Suffolk City Voter Registration Office,757-514-7750,"",ocd-division/country:us/state:va/place:suffolk
"",Surry County,VA,Surry County Voter Registration Office,757-294-5213,"",ocd-division/country:us/state:va/county:surry
"",Sussex County,VA,Sussex County Voter Registration Office,434-246-1047,"",ocd-division/country:us/state:va/county:sussex
"",Tazewell County,VA,Tazewell County Voter Registration Office,276-385-1305,"",ocd-division/country:us/state:va/county:tazewell
Virginia Beach City,"",VA,Virginia Beach City Voter Registration Office,757-385-8683,"",ocd-division/country:us/state:va/place:virginia_beach
"",Warren County,VA,Warren County Voter Registration Office,540-635-4327,http://www.warrencountyva.net,ocd-division/country:us/state:va/county:warren
"",Washington County,VA,Washington County Voter Registration Office,276-676-6227,"",ocd-division/country:us/state:va/county:washington
Waynesboro City,"",VA,Waynesboro City Voter Registration Office,540-942-6620,"",ocd-division/country:us/state:va/place:waynesboro
"",Westmoreland County,VA,Westmoreland County Voter Registration Office,804-493-8898,"",ocd-division/country:us/state:va/county:westmoreland
Williamsburg City,"",VA,Williamsburg City Voter Registration Office,757-220-6157,http://www.williamsburgva.gov/vote,ocd-division/country:us/state:va/place:williamsburg
Winchester City,"",VA,Winchester City Voter Registration Office,540-545-7910,http://www.winchesterva.gov/vote/,ocd-division/country:us/state:va/place:winchester
"",Wise County,VA,Wise County Voter Registration Office,276-328-8331,http://www.wisecounty.org/registrar/registrar.html,ocd-division/country:us/state:va/county:wise
"",Wythe County,VA,Wythe County Voter Registration Office,276-223-6038,"",ocd-division/country:us/state:va/county:wythe
"",York County,VA,York County Voter Registration Office,757-890-3440,http://www.yorkcounty.gov/voting,ocd-division/country:us/state:va/county:york
